"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 16:16:12 GMT 2025","Mon Sep 01 16:16:14 GMT 2025","2222","","Footer section","","","","Verify item titles in Channels section ","Verifies item titles in the Channels section of the footer"
"passed","Mon Sep 01 16:18:53 GMT 2025","Mon Sep 01 16:19:05 GMT 2025","11852","","Header Navigation","","","","Verify items in the Platform dropdown menu",""
"passed","Mon Sep 01 16:19:38 GMT 2025","Mon Sep 01 16:19:39 GMT 2025","1539","","Talk to sales page","","","","Verify metric section",""
"passed","Mon Sep 01 16:19:33 GMT 2025","Mon Sep 01 16:19:35 GMT 2025","1396","","Talk to sales page","","","","Verify Get started section display",""
"passed","Mon Sep 01 16:15:22 GMT 2025","Mon Sep 01 16:15:24 GMT 2025","2547","","Talk to sales page","","","","Verify metric section",""
"passed","Mon Sep 01 16:13:13 GMT 2025","Mon Sep 01 16:14:09 GMT 2025","56459","","Header Navigation","","","","Verify items in the Platform dropdown menu",""
"passed","Mon Sep 01 16:08:43 GMT 2025","Mon Sep 01 16:08:47 GMT 2025","3956","","Footer section","","","","Verify item titles in Resources section ","Verifies item titles in the Resources section of the footer"
"passed","Mon Sep 01 16:17:48 GMT 2025","Mon Sep 01 16:17:51 GMT 2025","2765","","Footer section","","","","Verify footer logo link","Verifies that the footer logo link opens the expected page"
"broken","Mon Sep 01 16:10:05 GMT 2025","Mon Sep 01 16:12:29 GMT 2025","144206","","Footer section","","","","Should open each link in Resources section","Verifies that each link in the Resources section opens the expected page"
"passed","Mon Sep 01 16:14:10 GMT 2025","Mon Sep 01 16:14:49 GMT 2025","38692","","Header Navigation","","","","Verify items in the Channels dropdown menu",""
"passed","Mon Sep 01 16:19:05 GMT 2025","Mon Sep 01 16:19:20 GMT 2025","15206","","Header Navigation","","","","Verify items in the Channels dropdown menu",""
"passed","Mon Sep 01 16:17:51 GMT 2025","Mon Sep 01 16:18:05 GMT 2025","14383","","Footer section","","","","Verify footer nav links in About page","Verifies that footer navigation links open expected pages"
"passed","Mon Sep 01 16:16:14 GMT 2025","Mon Sep 01 16:16:16 GMT 2025","2214","","Footer section","","","","Verify item titles in API Platform section ","Verifies item titles in the API Platform section of the footer"
"passed","Mon Sep 01 16:16:45 GMT 2025","Mon Sep 01 16:17:05 GMT 2025","20300","","Footer section","","","","Should open each link in API Platform section","Verifies that each link in the API Platform section opens the expected page"
"passed","Mon Sep 01 16:20:10 GMT 2025","Mon Sep 01 16:20:11 GMT 2025","965","","Talk to sales page","","","","Verify FAQ section",""
"passed","Mon Sep 01 16:14:49 GMT 2025","Mon Sep 01 16:15:10 GMT 2025","21354","","Header Navigation","","","","Verify Documentation and Pricing header links",""
"passed","Mon Sep 01 16:17:05 GMT 2025","Mon Sep 01 16:17:28 GMT 2025","22299","","Footer section","","","","Should open each link in Resources section","Verifies that each link in the Resources section opens the expected page"
"passed","Mon Sep 01 16:16:29 GMT 2025","Mon Sep 01 16:16:45 GMT 2025","15598","","Footer section","","","","Should open each link in Channels section","Verifies that each link in the Channels section opens the expected page"
"passed","Mon Sep 01 16:08:28 GMT 2025","Mon Sep 01 16:08:33 GMT 2025","4521","","Footer section","","","","Verify section titles ","Verifies that the footer contains expected section titles"
"broken","Mon Sep 01 16:11:43 GMT 2025","Mon Sep 01 16:12:29 GMT 2025","45351","","Footer section","","","","Verify footer nav links in About page","Verifies that footer navigation links open expected pages"
"passed","Mon Sep 01 16:08:47 GMT 2025","Mon Sep 01 16:08:51 GMT 2025","4400","","Footer section","","","","Verify item titles in Company section ","Verifies item titles in the Company section of the footer"
"passed","Mon Sep 01 16:15:24 GMT 2025","Mon Sep 01 16:15:54 GMT 2025","30128","","Talk to sales page","","","","Verify What our customers say about us section",""
"passed","Mon Sep 01 16:17:28 GMT 2025","Mon Sep 01 16:17:48 GMT 2025","20210","","Footer section","","","","Should open each link in Company section","Verifies that each link in the Company section opens the expected page"
"passed","Mon Sep 01 16:19:39 GMT 2025","Mon Sep 01 16:20:10 GMT 2025","31211","","Talk to sales page","","","","Verify What our customers say about us section",""
"passed","Mon Sep 01 16:08:33 GMT 2025","Mon Sep 01 16:08:36 GMT 2025","3030","","Footer section","","","","Verify item titles in Platform section ","Verifies item titles in the Platform section of the footer"
"passed","Mon Sep 01 16:16:16 GMT 2025","Mon Sep 01 16:16:18 GMT 2025","2202","","Footer section","","","","Verify item titles in Resources section ","Verifies item titles in the Resources section of the footer"
